,fileid,cluster,journal,subject
607,g1.globo.com___politica_noticia_maioria-do-supremo-decide-julgar-pedido-de-habeas-corpus-preventivo-de-lula-para-evitar-ser-preso.ghtml.txt,3,g1,prisao-lula
608,g1.globo.com___politica_noticia_marco-aurelio-diz-que-cogita-levar-ao-plenario-decisao-sobre-liminar-para-impedir-prisao-apos-2-instancia.ghtml.txt,3,g1,prisao-lula
609,g1.globo.com___politica_noticia_nova-legislacao-trabalhista-governo-edita-mp-para-fazer-ajustes-na-lei-em-vigor.ghtml.txt,4,g1,reforma-trabalhista
610,g1.globo.com___politica_noticia_para-maia-reforma-trabalhista-e-timida-e-justica-do-trabalho-nao-deveria-existir.ghtml.txt,2,g1,reforma-trabalhista
611,g1.globo.com___politica_noticia_pdt-expulsa-deputado-que-votou-a-favor-da-reforma-trabalhista.ghtml.txt,2,g1,reforma-trabalhista
612,g1.globo.com___politica_noticia_pf-apreende-documento-com-inscricao-cx-2-no-apartamento-de-aecio.ghtml.txt,0,g1,afastamento-aecio
613,g1.globo.com___politica_noticia_presidente-do-conselho-de-etica-do-senado-arquiva-representacao-que-pedia-cassacao-de-aecio.ghtml.txt,0,g1,afastamento-aecio
614,g1.globo.com___politica_noticia_presidente-do-tst-avalia-como-razoavel-intervalo-de-30-minutos-para-almoco.ghtml.txt,4,g1,reforma-trabalhista
615,g1.globo.com___politica_noticia_saiba-como-cada-senador-votou-sobre-a-reforma-trabalhista.ghtml.txt,4,g1,reforma-trabalhista
616,g1.globo.com___politica_noticia_saiba-como-votou-cada-deputado-no-texto-base-da-reforma-trabalhista.ghtml.txt,5,g1,reforma-trabalhista
617,g1.globo.com___politica_noticia_saiba-o-que-pode-acontecer-com-lula-apos-julgamento-de-habeas-corpus-no-stf.ghtml.txt,3,g1,prisao-lula
618,g1.globo.com___politica_noticia_senado-derruba-afastamento-de-aecio.ghtml.txt,0,g1,afastamento-aecio
619,g1.globo.com___politica_noticia_stf-decide-que-pode-impor-medidas-cautelares-mas-que-aplicacao-sera-submetida-ao-congresso.ghtml.txt,0,g1,afastamento-aecio
620,g1.globo.com___politica_noticia_stf-julgamento-habeas-corpus-lula-4-de-abril.ghtml.txt,3,g1,prisao-lula
621,g1.globo.com___politica_noticia_stf-julgara-pedido-para-evitar-prisao-de-lula-nesta-quinta-anuncia-carmen-lucia.ghtml.txt,3,g1,prisao-lula
622,g1.globo.com___politica_noticia_stf-levanta-sigilo-e-conversa-de-jornalista-com-irma-de-aecio-e-divulgada.ghtml.txt,0,g1,afastamento-aecio
623,g1.globo.com___politica_noticia_superior-tribunal-de-justica-decide-nesta-terca-se-livra-lula-de-ser-preso.ghtml.txt,3,g1,prisao-lula
624,g1.globo.com___politica_noticia_veja-principais-pontos-das-reformas-trabalhista-e-da-previdencia.ghtml.txt,6,g1,reforma-trabalhista
625,g1.globo.com___politica_noticia_video-mostra-executivo-da-jf-entregando-dinheiro-a-primo-de-aecio.ghtml.txt,0,g1,afastamento-aecio
626,g1.globo.com___politica_operacao-lava-jato_noticia_aecio-diz-que-e-vitima-de-armacao-e-que-nao-ganhou-dinheiro-com-politica.ghtml.txt,0,g1,afastamento-aecio
627,g1.globo.com___politica_operacao-lava-jato_noticia_comprador-do-triplex-que-levou-lula-a-prisao-diz-que-fez-investimento-por-simbologia-e-posicao-privilegiada.ghtml.txt,5,g1,prisao-lula
628,g1.globo.com___politica_operacao-lava-jato_noticia_em-transcricao-de-audio-da-pf-aecio-pede-ajuda-a-gilmar-mendes-sobre-lei-de-abuso-de-autoridade.ghtml.txt,0,g1,afastamento-aecio
629,g1.globo.com___politica_operacao-lava-jato_noticia_primeira-turma-do-stf-julga-nesta-terca-pedido-de-prisao-de-aecio-neves.ghtml.txt,0,g1,afastamento-aecio
630,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2015_12_congresso-entra-em-recesso-e-deixa-analise-de-impeachment-para-fevereiro.html.txt,1,g1,impeachment-dilma
631,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2015_12_dilma-buscara-apoio-de-bases-sociais-e-governadores-contra-impeachment.html.txt,1,g1,impeachment-dilma
632,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2015_12_supremo-muda-rito-do-impeachment-entenda-o-que-acontece-agora.html.txt,1,g1,impeachment-dilma
633,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_03_camara-elege-membros-de-comissao-que-analisara-impeachment-de-dilma.html.txt,1,g1,impeachment-dilma
634,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_03_oab-decide-apoiar-processo-de-impeachment-de-dilma-no-congresso.html.txt,1,g1,impeachment-dilma
635,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_03_oab-protocola-na-camara-novo-pedido-de-impeachment-de-dilma.html.txt,1,g1,impeachment-dilma
636,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_03_stf-divulga-acordao-da-decisao-sobre-rito-de-impeachment.html.txt,1,g1,impeachment-dilma
637,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_60-dos-deputados-sao-favoraveis-ao-impeachment-diz-pesquisa-datafolha.html.txt,1,g1,impeachment-dilma
638,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_ate-senado-decidir-impeachment-congresso-tem-paralisia-diz-cunha.html.txt,1,g1,impeachment-dilma
639,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_camara-aprova-prosseguimento-do-processo-de-impeachment-no-senado.html.txt,1,g1,impeachment-dilma
640,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_comissao-da-camara-aprova-processo-de-impeachment-de-dilma.html.txt,1,g1,impeachment-dilma
641,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_comissao-do-senado-ouve-autores-do-pedido-de-impeachment-de-dilma.html.txt,1,g1,impeachment-dilma
642,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_dilma-divulga-nas-redes-sociais-pronunciamento-sobre-impeachment.html.txt,1,g1,impeachment-dilma
643,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_e-preciso-um-governo-de-salvacao-nacional-afirma-vice-michel-temer.html.txt,1,g1,impeachment-dilma
644,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_em-discurso-nos-eua-dilma-deve-dizer-que-e-vitima-de-golpe-no-brasil.html.txt,1,g1,impeachment-dilma
645,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_ministro-do-stf-manda-cunha-iniciar-analise-do-impeachment-de-temer.html.txt,1,g1,impeachment-dilma
646,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_relator-jovair-arantes-da-parecer-favoravel-ao-impeachment-de-dilma.html.txt,1,g1,impeachment-dilma
647,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_rosso-decide-que-agu-pode-fazer-defesa-de-dilma-no-impeachment.html.txt,1,g1,impeachment-dilma
648,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_senado-vai-ler-votacao-do-processo-de-impeachment-de-dilma-nesta-terca.html.txt,1,g1,impeachment-dilma
649,g1.globo.com___politica_processo-de-impeachment-de-dilma_noticia_2016_04_senadores-de-pmdb-e-psdb-irao-comandar-comissao-do-impeachment.html.txt,1,g1,impeachment-dilma
