url,subject,journal
https://istoe.com.br/temer-e-notificado-de-decisao-do-senado-sobre-impeachment-de-dilma/,impeachment-dilma,istoe
https://www.istoedinheiro.com.br/noticias/economia/20151202/eduardo-cunha-aceita-pedido-impeachment-contra-dilma/322650,impeachment-dilma,istoe
https://www.istoedinheiro.com.br/noticias/economia/20160505/inicio-processo-impeachment-foi-chantagem-cunha-diz-dilma/369697,impeachment-dilma,istoe
https://istoe.com.br/comissao-do-impeachment-aprova-novo-calendario-dilma-deve-depor-em-6-de-julho/,impeachment-dilma,istoe
https://istoe.com.br/revelacoes-de-odebrecht-ajudam-a-consolidar-impeachment-de-dilma-diz-eunicio/,impeachment-dilma,istoe
https://istoe.com.br/senadores-que-apoiam-impeachment-discutem-estrategias-para-o-depoimento-de-dilma/,impeachment-dilma,istoe
https://istoe.com.br/comissao-do-impeachment-vai-conceder-mais-um-dia-de-prazo-para-defesa-de-dilma/,impeachment-dilma,istoe
https://istoe.com.br/aliados-de-dilma-definem-estrategia-para-a-sessao-final-do-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/451688_A+PRESIDENTE+MENTE+QUANDO+DIZ+QUE+NAO+HA+CRIME+/,impeachment-dilma,istoe
https://istoe.com.br/renan-dilma-ira-colaborar-para-que-calendario-do-impeachment-seja-cumprido/,impeachment-dilma,istoe
https://istoe.com.br/stf-nega-liminar-para-anular-sessao-do-senado-que-aprovou-impeachment-de-dilma/,impeachment-dilma,istoe
https://istoe.com.br/dilma-diz-ser-estranhissima-votacao-separada-do-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/comissao-do-impeachment-encerra-mais-uma-fase-de-depoimentos-em-defesa-de-dilma/,impeachment-dilma,istoe
https://istoe.com.br/teori-nega-mais-um-pedido-de-dilma-para-anular-julgamento-do-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/clima-fantasmagorico-e-lugubre-invade-gabinete-de-dilma/,impeachment-dilma,istoe
https://www.istoedinheiro.com.br/noticias/economia/20160410/seguranca-maxima-brasilia-por-votacao-impeachment-dilma/360944,impeachment-dilma,istoe
https://www.istoedinheiro.com.br/noticias/economia/20160706/cardozo-lera-depoimento-pessoal-dilma-comissao-impeachment/390466,impeachment-dilma,istoe
https://istoe.com.br/temer-assume-presidencia-e-lewandowski-assume-processo-de-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/dilma-nao-participou-de-pedaladas-diz-diretor-do-mda-na-comissao-do-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/pesquisa-mostra-temer-melhor-do-que-dilma/,impeachment-dilma,istoe
https://www.istoedinheiro.com.br/noticias/economia/20160503/comissao-especial-rejeita-arquivar-processo-impeachment-dilma/368721,impeachment-dilma,istoe
https://istoe.com.br/moodys-impeachment-de-dilma-nao-altera-visao-sobre-perspectivas-de-credito/,impeachment-dilma,istoe
https://istoe.com.br/fhc-fala-de-pedaladas-e-impeachment-de-dilma-em-entrevista-a-al-jazeera/,impeachment-dilma,istoe
https://www.istoedinheiro.com.br/noticias/economia/20160226/tenho-consciencia-tranquila-diz-dilma-jornal-chileno-sobre-impeachment/346918,impeachment-dilma,istoe
https://istoe.com.br/451082_O+ENSAIO+DO+ADEUS/,impeachment-dilma,istoe
https://istoe.com.br/defesa-de-dilma-entra-com-novo-recurso-para-tentar-anular-impeachment-2/,impeachment-dilma,istoe
https://istoe.com.br/lewandowski-rejeita-recurso-de-dilma-para-incluir-audios-de-machado-no-processo/,impeachment-dilma,istoe
https://istoe.com.br/dilma-desce-do-carro-e-cumprimenta-manifestantes-ao-deixar-o-alvorada/,impeachment-dilma,istoe
https://istoe.com.br/na-vespera-da-votacao-do-impeachment-temer-recebe-senador/,impeachment-dilma,istoe
https://istoe.com.br/teori-ainda-nao-decidiu-sobre-pedido-da-agu-contra-impeachment/,impeachment-dilma,istoe
https://istoe.com.br/dilma-confirma-presenca-em-ato-contra-impeachment-em-belo-horizonte/,impeachment-dilma,istoe
https://istoe.com.br/defensores-do-impeachment-trocam-de-estrategia/,impeachment-dilma,istoe
https://www.istoedinheiro.com.br/noticias/economia/20160415/brasil-debate-impeachment-dilma-sessao-dramatica-congresso/362942,impeachment-dilma,istoe
https://istoe.com.br/waldir-maranhao-revoga-ato-em-que-anulou-sessao-do-impeachment-na-camara/,impeachment-dilma,istoe
https://istoe.com.br/decisao-pelo-impeachment-de-dilma-e-publicada-em-edicao-extra-do-diario-oficial/,impeachment-dilma,istoe
